name,rating,text,resp,gmap_id
Tony Quarry,1,I Told The Guy At The Counter That I Saw Their Ad In The Pennysaver And He Went Balistic Claiming They Would Never Advertise In That Publication Like They Were Too Classy For That I Asked Them If They Sold An Alarm System For My Truck And They Tried To Sell Me One For 500 Bucks So I Left And Went To The Car Audio Depot At 16910 Mission And Got One Installed For Less Than 150 Bucks And Nobody Snooty Stay Away From Autuhaus They Are Too Pricey,Time 1519404556470 Text Tony Our Sincere Apologies You Had This Experience While Visiting Autohaus We Pride Ourselves In Delivering The Very Best In Customer Service We Truly Have Not Advertised In The Penny Saver,0X00Xdf872B4788Fc688B
Pam Steffani,1,No Help Kinda Rude,Sin Dato,0X80Db65D92Edfa3270X59747F836C106
Elizabeth Delacruz,1,They Give U One Price On The Phone Then They Tell Different When Ur Therr,Sin Dato,0X80Db65D92Edfa3270X59747F836C106
Traveler Ca,1,Good Red Wines The Customer Service Here Left A Lot To Be Desired The Older Gentleman At The Tasting Room Is One Rude Person He Must Be Related To The Owners To Feel As If Theres No Consequences For Being Rude To Customers He Not Only Was Rude But Was Disrespectful I Will Not Come Back To This Tasting Room Again,Sin Dato,0X808179Ecdd33978B0Xf1Ad0F5B6396A4
Jennifer Walker,1,Been Waiting In The Front For A Very Long Time With No One To Help Me Check Inregister I Walked Through The Hospital Asking For Help And Got Sent Back To Sit Down And Wait For Someone To Come This Is Very Unprofessional And I Will Be Asking My Doctor To Not Send Me Here Ever Again Id Rather Drive An Extra Couple Of Hours To Be Treated In A Timely Manner Than Waste A Couple Of Hours In The Waiting Room Without Being Helped,Sin Dato,0X80836766E8Ca818D0Xadde000Cd1A21E
Mark Plott,1,Sin Dato,Sin Dato,0X80857E13B2272A6D0X191845Aa3B1D4D
Hein Roehrig,1,Use Turbotax Two Years In A Row I Got My Taxes Botched By Hr Block I Did Get Audited And The Hr Block Representation Was So Bad That Not Only Did I Have To Figure Out All The Issues Myself But I Also Had To Explain Them To The Hr Block Accountant,Sin Dato,0X808580Ea8D986Beb0X919Fa7A81F2Bbe
Jose Heredia,1,I Am Sure Not Everyone Gives Bad Customer Service Here But The Guy That Was On The Phone With Me Was Obviously Having A Terrible Day And Being Very Rude I Had To Say Its Ok Ill Just Rent From Somewhere Else And He Immediately Hung Up On Me,Sin Dato,0X808F7Fb03A42D3Cb0X62D6E3739358D3
Fidel Ramirez,1,Sin Dato,Sin Dato,0X808F864099168Ead0X1E1Cd2C031Caae
Migg,1,Over Priced,Sin Dato,0X808F914094Fdfb0D0Xee9364D8Ccb35C
